aalib 1.4rc5-10
json-glib 1.0.2-1
kbd 2.0.2-1
kbproto 1.0.6-2
keyutils 1.5.9-1
kmod 19-1
krb5 1.13-1
lame 3.99.5-2
lcms2 2.6-1
ldb 1.1.18-1
ldns 1.6.17-2
less 471-1
libaio 0.3.110-1
libarchive 3.1.2-8
libass 0.12.0-1
libassuan 2.1.3-1
libasyncns 0.8-5
libatasmart 0.19-3
libatomic_ops 7.4.2-1
libavc1394 0.5.4-2
libbluray 0.6.2-1
libbsd 0.7.0-1
libcaca 0.99.beta18-2
libcanberra 0.30-4
libcanberra-pulse 0.30-4
libcap 2.24-2
libcap-ng 0.7.4-1
libcddb 1.3.2-4
libcdio 0.93-1
libcdio-paranoia 10.2+0.93+1-1
libchamplain 0.12.9-1
libcroco 0.6.8-2
libcups 2.0.1-1
libdaemon 0.14-3
libdatrie 0.2.6-1
libdbus 1.8.12-1
libdca 0.0.5-4
libdmapsharing 2.9.23-1
libdrm 2.4.58-1
libdv 1.0.0-6
libdvdnav 5.0.1-1
libdvdread 5.0.0-1
libedit 20141030_3.1-1
libepoxy 1.2-2
libev 4.19-1
libevdev 1.3.2-1
libevent 2.0.21-3
libexif 0.6.21-2
libffi 3.2.1-1
libfontenc 1.1.2-1
libgcrypt 1.6.2-1
libgdata 0.16.1-1
libgdm 3.14.1-2
libgee 0.16.0-1
libgme 0.6.0-3
libgnome-keyring 3.12.0-2
libgnomekbd 3.6.0-2
libgpg-error 1.17-1
libgsf 1.14.30-1
libgssglue 0.4-2
libgsystem 2014.2-1
libgtop 2.30.0-1
libgusb 0.1.6-1
libgweather 3.14.2-1
libgxps 0.2.2-3
libibus 1.5.9-4
libical 1.0.1-1
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.29-1
libiec61883 1.2.0-4
libimobiledevice 1.1.7-1
libinput 0.7.0-1
libjpeg-turbo 1.3.1-3
libksba 1.3.2-1
libldap 2.4.40-2
libmbim 1.10.0-1
libmediaart 0.6.0-1
libmm-glib 1.2.0-5
libmms 0.6.4-1
libmodplug 0.8.8.5-1
libmp4v2 2.0.0-3
libmpc 1.0.2-2
libmtp 1.1.8-1
libmusicbrainz5 5.1.0-1
libnautilus-extension 3.14.2-2
libndp 1.3-1
libnewt 0.52.17-2
libnice 0.1.7-1
libnl 3.2.25-1
libnm-glib 0.9.10.0-4
libnm-gtk 0.9.10.0-2
libnotify 0.7.6-1
liboauth 1.0.3-1
libofa 0.9.3-5
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
libpaper 1.1.24-7
libpcap 1.6.2-1
libpciaccess 0.13.2-2
libpeas 1.12.1-1
libpipeline 1.4.0-1
libplist 1.11-1
libpng 1.6.16-1
libproxy 0.4.11-4
libpst 0.6.63-3
libpulse 5.0-1
libpwquality 1.2.3-1
libqmi 1.10.4-1
libraw1394 2.1.0-2
librsvg 1:2.40.6-1
libsamplerate 0.1.8-3
libsasl 2.1.26-7
libseccomp 2.1.1-1
libsecret 0.18-1
libshout 1:2.3.1-2
libsigc++ 2.4.0-1
libsm 1.2.2-2
libsndfile 1.0.25-3
libsoup 2.48.1-1
libspectre 0.2.7-2
libsrtp 15.1c9bd90-3
libssh2 1.4.3-2
libsystemd 218-1
libtasn1 4.2-1
libteam 1.14-1
libthai 0.1.19-1
libtheora 1.1.1-3
libtiff 4.0.3-5
libtirpc 0.2.5-1
libtool 2.4.4-2
libtracker-sparql 1.2.5-1
libtxc_dxtn 1.0.1-5
